# Time (s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (cm),CG location (cm),Thrust (N)
12.141,4.00E+04,364.806,51.532,0.224,323.131,241.264,0
12.191,4.00E+04,361.035,51.531,0.224,322.889,241.261,0
12.241,4.00E+04,357.349,51.53,0.224,322.838,241.259,0
12.291,4.00E+04,353.743,51.529,0.224,322.785,241.256,0
12.341,4.00E+04,350.218,51.528,0.224,323.027,241.253,0
12.391,4.00E+04,346.771,51.527,0.224,323.086,241.25,0
12.441,4.00E+04,343.401,51.526,0.224,323.121,241.248,0
12.491,4.00E+04,340.105,51.524,0.224,322.904,241.245,0
12.541,4.00E+04,336.881,51.523,0.224,322.682,241.243,0
12.591,3.99E+04,333.73,51.522,0.224,322.661,241.24,0
12.641,3.99E+04,330.648,51.521,0.224,322.708,241.238,0
12.691,3.99E+04,327.634,51.521,0.224,322.575,241.236,0
12.741,3.99E+04,324.688,51.52,0.224,322.547,241.233,0
12.791,3.99E+04,321.806,51.519,0.224,322.765,241.231,0
12.841,3.99E+04,318.988,51.518,0.224,322.667,241.229,0
12.891,3.99E+04,316.233,51.517,0.224,322.53,241.227,0
12.941,3.99E+04,313.538,51.516,0.224,322.413,241.225,0
12.991,3.99E+04,310.904,51.515,0.224,322.111,241.223,0
13.041,3.99E+04,308.328,51.514,0.224,322.118,241.221,0
13.091,3.99E+04,305.809,51.514,0.224,322.111,241.219,0
13.141,3.99E+04,303.345,51.513,0.224,322.357,241.217,0
13.191,3.99E+04,300.936,51.512,0.224,322.166,241.215,0
13.241,3.99E+04,298.581,51.511,0.224,321.998,241.213,0
13.291,3.99E+04,296.278,51.511,0.224,321.767,241.211,0
13.341,3.99E+04,294.025,51.51,0.224,321.547,241.21,0
13.391,3.99E+04,291.823,51.509,0.224,321.816,241.208,0
13.441,3.99E+04,289.669,51.508,0.224,322.208,241.206,0
13.491,3.99E+04,287.564,51.508,0.224,321.752,241.205,0
13.541,3.99E+04,285.504,51.507,0.224,321.479,241.203,0
13.591,3.99E+04,283.491,51.506,0.224,321.262,241.201,0
13.641,3.99E+04,281.522,51.506,0.224,321.498,241.2,0
13.691,3.99E+04,279.596,51.505,0.224,321.708,241.198,0
13.741,3.99E+04,277.714,51.505,0.224,321.86,241.197,0
13.791,3.99E+04,275.873,51.504,0.224,321.761,241.196,0
13.841,3.99E+04,274.072,51.504,0.224,321.48,241.194,0
13.891,3.99E+04,272.312,51.503,0.224,321.237,241.193,0
13.941,3.99E+04,270.591,51.502,0.224,321.043,241.192,0
13.991,3.99E+04,268.907,51.502,0.224,321.254,241.19,0
14.041,3.99E+04,267.261,51.501,0.224,321.619,241.189,0
14.091,3.99E+04,265.652,51.501,0.224,321.312,241.188,0
14.141,3.99E+04,264.078,51.5,0.224,321.062,241.186,0
14.191,3.99E+04,262.539,51.5,0.224,321.178,241.185,0
14.241,3.99E+04,261.034,51.499,0.224,321.08,241.184,0
14.291,3.99E+04,259.562,51.499,0.224,321.171,241.183,0
14.341,3.99E+04,258.123,51.498,0.224,321.286,241.182,0
14.391,3.99E+04,256.716,51.498,0.224,321.217,241.181,0
14.441,3.99E+04,255.34,51.498,0.224,320.959,241.18,0
14.491,3.99E+04,253.995,51.497,0.224,320.699,241.179,0
14.541,3.99E+04,252.679,51.497,0.224,320.747,241.178,0
14.591,3.99E+04,251.393,51.496,0.224,320.869,241.177,0
14.641,3.99E+04,250.135,51.496,0.224,320.961,241.176,0
14.691,3.99E+04,248.904,51.496,0.224,321.217,241.175,0
14.741,3.99E+04,247.701,51.495,0.224,321.033,241.174,0
14.791,3.99E+04,246.526,51.495,0.224,320.716,241.173,0
14.841,3.99E+04,245.375,51.494,0.224,320.364,241.172,0
14.891,3.99E+04,244.25,51.494,0.224,320.14,241.171,0
14.941,3.99E+04,243.151,51.494,0.224,320.349,241.17,0
14.991,3.99E+04,242.075,51.493,0.224,320.639,241.169,0
15,3.99E+04,241.842,51.493,0.224,320.699,241.169,0
15.013,3.99E+04,241.842,51.493,0.224,320.821,241.169,0
15.033,3.99E+04,241.842,51.493,0.224,321.007,241.169,0
15.062,3.99E+04,241.842,51.493,0.224,320.76,241.169,0
15.107,3.99E+04,241.842,51.493,0.224,320.465,241.169,0
15.157,3.99E+04,241.842,51.493,0.224,320.159,241.169,0
15.207,3.99E+04,241.842,51.493,0.224,320.168,241.169,0
15.257,3.99E+04,241.842,51.493,0.224,320.22,241.169,0
15.307,3.99E+04,241.842,51.493,0.224,320.461,241.169,0
15.357,3.99E+04,241.842,51.493,0.224,320.708,241.169,0
15.407,3.99E+04,241.842,51.493,0.224,320.744,241.169,0
15.457,3.99E+04,241.842,51.493,0.224,320.282,241.169,0
15.507,3.99E+04,241.842,51.493,0.224,319.813,241.169,0
15.557,3.99E+04,241.842,51.493,0.224,319.978,241.169,0
15.607,3.99E+04,241.842,51.493,0.224,319.817,241.169,0
15.657,3.99E+04,241.842,51.493,0.224,320.007,241.169,0
15.707,3.99E+04,241.842,51.493,0.224,320.182,241.169,0
15.757,3.99E+04,241.842,51.493,0.224,320.33,241.169,0
15.807,3.99E+04,241.842,51.493,0.224,320.012,241.169,0
15.857,3.99E+04,241.842,51.493,0.224,319.596,241.169,0
15.907,3.99E+04,241.842,51.493,0.224,319.18,241.169,0
15.957,3.99E+04,241.842,51.493,0.224,319.2,241.169,0
16.007,3.99E+04,241.842,51.493,0.224,319.285,241.169,0
16.057,3.99E+04,241.842,51.493,0.224,319.648,241.169,0
16.107,3.99E+04,241.842,51.493,0.224,320.175,241.169,0
16.157,3.99E+04,241.842,51.493,0.224,319.931,241.169,0
16.207,3.99E+04,241.842,51.493,0.224,319.751,241.169,0
16.257,3.99E+04,241.842,51.493,0.224,319.534,241.169,0
16.307,3.99E+04,241.842,51.493,0.224,319.058,241.169,0
16.357,3.99E+04,241.842,51.493,0.224,319.076,241.169,0
16.407,3.99E+04,241.842,51.493,0.224,319.086,241.169,0
16.457,3.99E+04,241.842,51.493,0.224,319.205,241.169,0
16.507,3.99E+04,241.842,51.493,0.224,319.702,241.169,0
16.557,3.99E+04,241.842,51.493,0.224,319.883,241.169,0
16.607,3.99E+04,241.842,51.493,0.224,319.862,241.169,0
16.657,3.99E+04,241.842,51.493,0.224,319.573,241.169,0
16.707,3.99E+04,241.842,51.493,0.224,319.168,241.169,0
16.757,3.99E+04,241.842,51.493,0.224,318.724,241.169,0
16.807,3.99E+04,241.842,51.493,0.224,318.724,241.169,0
16.857,3.99E+04,241.842,51.493,0.224,318.858,241.169,0
16.907,3.99E+04,241.842,51.493,0.224,319.147,241.169,0
16.957,3.99E+04,241.842,51.493,0.224,319.327,241.169,0
17.007,3.99E+04,241.842,51.493,0.224,319.759,241.169,0
17.057,3.99E+04,241.842,51.493,0.224,319.629,241.169,0
17.107,3.99E+04,241.842,51.493,0.224,319.34,241.169,0
17.157,3.99E+04,241.842,51.493,0.224,319.146,241.169,0
17.207,3.99E+04,241.842,51.493,0.224,318.534,241.169,0
